"","method","calib.method","k","m","b0","bc","bb","zc.star","zb.star","zc.ref","zb.ref","V","Vzeta","muN","minN","sd.w","tail","true.effect.dist","TheoryP","q","TheoryP.ref","TheoryDiff","scen.name","clustered"
"94","bt.smart","MR bt both correct",100,50,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,94,TRUE
"95","bt.smart","MR",100,50,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,95,TRUE
"96","bt.smart","DL",100,50,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,96,TRUE
"97","bt.smart","MR bt both correct",50,25,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,97,TRUE
"98","bt.smart","MR",50,25,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,98,TRUE
"99","bt.smart","DL",50,25,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,99,TRUE
"100","bt.smart","MR bt both correct",20,10,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,100,TRUE
"101","bt.smart","MR",20,10,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,101,TRUE
"102","bt.smart","DL",20,10,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,102,TRUE
"103","bt.smart","MR bt both correct",10,5,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,103,TRUE
"104","bt.smart","MR",10,5,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,104,TRUE
"105","bt.smart","DL",10,5,0,0.5,1,0.5,1,2,0,0.01,0.0075,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,105,TRUE
"106","bt.smart","MR bt both correct",150,150,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,106,FALSE
